Review Text,stemming,tokens,weights,total_score,Sentimen
"This game is quite good, but I have a problem with my bad gaming experience. This game runs very smoothly on my phone, but I often experience interruptions while playing: like when I'm fighting, suddenly the entire screen becomes unresponsive, even showing an error, even though my phone is cool and running smoothly. I thought it was a problem with my phone, but it turns out to be a bug or something, I don't really know, but I've experienced this 3 times. Please, zzz team, fix this bug immediatel",this is quite good but have problem with my bad gaming experience this runs very smoothly on my phone but often experience interruptions while playing like when im fighting suddenly the entire screen becomes unresponsive even showing an error even though my phone is cool and running smoothly thought was problem with my phone but turns out be bug something dont really know but ive experienced this times please team fix this bug immediatel,"['this', 'is', 'quite', 'good', 'but', 'have', 'problem', 'with', 'my', 'bad', 'gaming', 'experience', 'this', 'runs', 'very', 'smoothly', 'on', 'my', 'phone', 'but', 'often', 'experience', 'interruptions', 'while', 'playing', 'like', 'when', 'im', 'fighting', 'suddenly', 'the', 'entire', 'screen', 'becomes', 'unresponsive', 'even', 'showing', 'an', 'error', 'even', 'though', 'my', 'phone', 'is', 'cool', 'and', 'running', 'smoothly', 'thought', 'was', 'problem', 'with', 'my', 'phone', 'but', 'turns', 'out', 'be', 'bug', 'something', 'dont', 'really', 'know', 'but', 'ive', 'experienced', 'this', 'times', 'please', 'team', 'fix', 'this', 'bug', 'immediatel']","[0, 0, 0, 5, 0, 0, -4, 0, 0, -4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 1, 0, 0, -5, 0]",-18,Negative
bagus gamenya saya suka dengan combatnya cepat dan menarik,bagus suka combatnya cepat tarik,"['bagus', 'suka', 'combatnya', 'cepat', 'tarik']","[5, 3, 0, -3, 2]",7,Positive
"game nya sangat keren, fighting nya juga bagus,apa lagi char nya bnyk yg montok jing",keren fighting bagusapa char montok anjing,"['keren', 'fighting', 'bagusapa', 'char', 'montok', 'anjing']","[5, 0, 0, 0, 3, -4]",4,Positive
the best game ever🗣️,the best ever,"['the', 'best', 'ever']","[0, 5, 0]",5,Positive
ga tau knp malah nge stuck di daftar server,tidak tau nge stuck daftar server,"['tidak', 'tau', 'nge', 'stuck', 'daftar', 'server']","[-5, -4, 0, -4, -3, 0]",-16,Negative
"Game ini udah bagus tapi kenapa fps nya bisa drop banget padahal spek hp udah sangat mampu untuk memainkan nya, setingan udah ku buat rendah semua tapi fps ga bisa stabil, mohon di perbaiki aku sangat ingin bermain zenles zone zero karena gameplanya seru dan waranya ga bikin bosen",bagus fps drop spek hp main ting ku rendah fps tidak stabil baik main zenles zone zero gameplanya seru wara tidak bikin bosan,"['bagus', 'fps', 'drop', 'spek', 'hp', 'main', 'ting', 'ku', 'rendah', 'fps', 'tidak', 'stabil', 'baik', 'main', 'zenles', 'zone', 'zero', 'gameplanya', 'seru', 'wara', 'tidak', 'bikin', 'bosan']","[5, -4, -3, 0, 0, -2, 0, 0, -5, -4, -5, 3, 5, -2, 0, 0, -3, 0, 5, -3, -5, 0, 0]",-18,Negative
"tolong diperbaiki gamenya, aku sudah 2 hari gk bisa login karena force close terus, hp ku samsung s24 loh, pdhl sebelumnya aman aman aja",tolong baik tidak login force close hp ku samsung loh aman aman,"['tolong', 'baik', 'tidak', 'login', 'force', 'close', 'hp', 'ku', 'samsung', 'loh', 'aman', 'aman']","[-2, 5, -5, 0, -3, -4, 0, 0, 0, 0, 2, 2]",-5,Negative
"Gameplaynya asik, storynya lumayanlah, bansosnya mantap. Masih lumayan banyak bugnya, trus pas ngerjain side quest di hollow jga ga jelas arahnya sesat bikin pusing, questnya dimana teleportnya kemana, semoga diperbaiki.",gameplaynya asik storynya lumayan bansosnya mantap lumayan bugnya pas ngerjain side quest hollow tidak arah sesat bikin pusing questnya mana teleportnya mana moga baik,"['gameplaynya', 'asik', 'storynya', 'lumayan', 'bansosnya', 'mantap', 'lumayan', 'bugnya', 'pas', 'ngerjain', 'side', 'quest', 'hollow', 'tidak', 'arah', 'sesat', 'bikin', 'pusing', 'questnya', 'mana', 'teleportnya', 'mana', 'moga', 'baik']","[0, 4, 0, -2, 0, 5, -2, 0, 3, -2, 0, 0, 0, -5, -4, -4, 0, -4, 0, 0, 0, 0, 1, 5]",-5,Negative
i hope you guys stop making new boss with special parry/dodge mechanic. just make it normal with yellow or red line. you can call me skill issue and i'm just casual player who wants to have fun an enjoy the game in normal way.,hope you guys stop making new bos with special parrydodge mechanic just pakai normal with yellow red line you can call me skill issue and im just casual player who wants have fun an enjoy the normal way,"['hope', 'you', 'guys', 'stop', 'making', 'new', 'bos', 'with', 'special', 'parrydodge', 'mechanic', 'just', 'pakai', 'normal', 'with', 'yellow', 'red', 'line', 'you', 'can', 'call', 'me', 'skill', 'issue', 'and', 'im', 'just', 'casual', 'player', 'who', 'wants', 'have', 'fun', 'an', 'enjoy', 'the', 'normal', 'way']","[0, 0, 1, -3, 0, 0, 3, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]",10,Positive
berikan gua nekomata!!!,gua nekomata,"['gua', 'nekomata']","[-3, 0]",-3,Negative
"pengalaman gameplay zzz bagus dari game2 serupa ,mana ga terlalu patah2 dan smooth juga story seperti komik aku menyukainya tidak membosankan gokil zzz",alam gameplay bagus tidak patah smooth story komik suka tidak bosan gila,"['alam', 'gameplay', 'bagus', 'tidak', 'patah', 'smooth', 'story', 'komik', 'suka', 'tidak', 'bosan', 'gila']","[-1, 2, 5, -5, -4, 3, 5, 0, 3, -5, 0, -5]",-2,Negative
"nice gameplay, keep going",nice gameplay keep going,"['nice', 'gameplay', 'keep', 'going']","[4, 2, 0, 0]",6,Positive
"gacha modelan gimana ini kalah mepet pity dapat pun juga harus mepet pity? cihh mana 50/50 yang kau janjikan cuih,baru juga comback gini amat mau ambil char aja di suruh gacha mepet pity terus",gacha model kalah mepet pity mepet pity cihh kau janji cuihbaru comback ambil char suruh gacha mepet pity,"['gacha', 'model', 'kalah', 'mepet', 'pity', 'mepet', 'pity', 'cihh', 'kau', 'janji', 'cuihbaru', 'comback', 'ambil', 'char', 'suruh', 'gacha', 'mepet', 'pity']","[-3, 3, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -2, -3, 0, 0]",-14,Negative
"bagi bintang 3 dulu sebab last saya main 2025 sebab masa tu banyak bug sudah saya call customer service tapi tidak di baiki"" jadi saya berharap saya download balik makin ok la jangan ja makin banyak bug saya tidak suka terutamanya pada grafik sudah ok grafik tapi masih lag"" wifi ok data hp ok tapi masih lag kalau masih lagi saya tidak akan main lagi game ini buat selamanya malas mau buat report di customer service ja setiap kali update game alasan yang sama aja tapi tidak ada tindakan hmmmmmmmmm",bintang last bug call customer service tidak baik harap download ok jangan bug tidak suka utama grafik ok grafik lag wifi ok data hp ok lag tidak malas report customer service update alas tidak tindak hm,"['bintang', 'last', 'bug', 'call', 'customer', 'service', 'tidak', 'baik', 'harap', 'download', 'ok', 'jangan', 'bug', 'tidak', 'suka', 'utama', 'grafik', 'ok', 'grafik', 'lag', 'wifi', 'ok', 'data', 'hp', 'ok', 'lag', 'tidak', 'malas', 'report', 'customer', 'service', 'update', 'alas', 'tidak', 'tindak', 'hm']","[0, 0, -5, 0, 0, 0, -5, 5, -3, -3, 4, -3, -5, -5, 3, 0, 1, 4, 1, -5, 0, 4, -3, 0, 4, -5, -5, -4, 0, 0, 0, -5, 0, -5, 0, 0]",-35,Negative
"Dev, aku sangat suka gamenya, tapi belakangan ini optimasinya terasa sangat kurang. Apalagi di map terbaru. Device sudah top tier (Snapdragon 8 gen 5) dan masih terus mengalami Force close. Ada apa dengan zzz?",dev suka optimasinya kurang map baru device top tier snapdragon gen alami force close,"['dev', 'suka', 'optimasinya', 'kurang', 'map', 'baru', 'device', 'top', 'tier', 'snapdragon', 'gen', 'alami', 'force', 'close']","[0, 3, 0, -4, 0, 0, 0, 5, 0, 0, 0, -3, -3, -4]",-6,Negative
"overall semua nya bagus cuma gacha nya aja yg ampas banget, polycrome habis Ampe mentok pity tapi dapat karakter standar",overall bagus gacha ampas polycrome habis mentok pity karakter standar,"['overall', 'bagus', 'gacha', 'ampas', 'polycrome', 'habis', 'mentok', 'pity', 'karakter', 'standar']","[0, 5, -3, -3, 0, -3, -5, 0, 0, -2]",-11,Negative
"tolong optimalisasinya lebih di tingkatkan, meski sudah pakai low graphic masih sering ngelag saat combat atau eksplorasi.",tolong optimalisasi tingkat pakai low graphic ngelag combat eksplorasi,"['tolong', 'optimalisasi', 'tingkat', 'pakai', 'low', 'graphic', 'ngelag', 'combat', 'eksplorasi']","[-2, -2, 1, 0, 0, 1, -5, 0, 4]",-3,Negative
ok,ok,['ok'],[4],4,Positive
bagus grafik sama alur cerita tapi sayangnya sempit banget pas jalanin quest ditambah ga bisa multiplayer jadinya rada bosen,bagus grafik alur cerita sayang sempit pas jalan quest tambah tidak multiplayer rada bosan,"['bagus', 'grafik', 'alur', 'cerita', 'sayang', 'sempit', 'pas', 'jalan', 'quest', 'tambah', 'tidak', 'multiplayer', 'rada', 'bosan']","[5, 1, -4, -4, -3, -4, 3, 0, 0, 3, -5, 0, 0, 0]",-8,Negative
"sorry game apa ini, udh download file besar awal bagus, grafik bagus, lancar makin lama kok ngelag2,,",sorry download file bagus grafik bagus lancar ngelag,"['sorry', 'download', 'file', 'bagus', 'grafik', 'bagus', 'lancar', 'ngelag']","[-4, -3, 0, 5, 1, 5, -2, -5]",-3,Negative
"ini gw mau nanya,kenapa Gw kalo main zzz ngeleg Mulu ya,Padahal dulu tahun 2025 nggak,sekarang pas gw comeback kok gini?,Mau minta informasi perangkat? perangkat gw Iqoo z9,Ram 8 Gb kepake 5 (Udha termasuk zzz kepake nya),memori Masih ada 78 GB, Chipset Juga lebih dari minimal,Snapdragon 7 gen 3,perasaan gw main Honkai Star Rail lancar banget rata kanan, ini emang optimalisasi nya kurang apa gimana?,gw juga grafis di zzz mode hemat baterai, semoga di jawab yah,soalnya dulu rata kanan lancar aja",nanyakenapa ngeleg mulu yapadahal tahun nggaksekarang pas comeback ginimau informasi perangkat perangkat iqoo zram gb kepake udha kepake nyamemori gb chipset minimalsnapdragon gen asa honkai star rail lancar rata kanan optimalisasi kurang gimanagw grafis mode hemat baterai moga yahsoalnya rata kanan lancar,"['nanyakenapa', 'ngeleg', 'mulu', 'yapadahal', 'tahun', 'nggaksekarang', 'pas', 'comeback', 'ginimau', 'informasi', 'perangkat', 'perangkat', 'iqoo', 'zram', 'gb', 'kepake', 'udha', 'kepake', 'nyamemori', 'gb', 'chipset', 'minimalsnapdragon', 'gen', 'asa', 'honkai', 'star', 'rail', 'lancar', 'rata', 'kanan', 'optimalisasi', 'kurang', 'gimanagw', 'grafis', 'mode', 'hemat', 'baterai', 'moga', 'yahsoalnya', 'rata', 'kanan', 'lancar']","[0, 0, -1, 0, 0, 0, 3, -2, 0, -3, 0, 0, 0, 0, -3, 0, 0, 0, 0, -3, 0, 0, 0, -2, 0, 0, 0, -2, -4, 0, -2, -4, 0, 1, 0, -3, -3, 1, 0, -4, 0, -2]",-33,Negative
"kalah rate off di banner velina, kalah rate off di w engine yixuan hard pity semua lagi. please make my account really lucky!!",kalah rate off banner velina kalah rate off engine yixuan hard pity please pakai my account really lucky,"['kalah', 'rate', 'off', 'banner', 'velina', 'kalah', 'rate', 'off', 'engine', 'yixuan', 'hard', 'pity', 'please', 'pakai', 'my', 'account', 'really', 'lucky']","[-4, -2, 0, 0, 0, -4, -2, 0, 0, 0, -5, 0, -3, 0, 0, 0, 0, 0]",-20,Negative
donlod data nya lama sekali,donlod data,"['donlod', 'data']","[0, -3]",-3,Negative
game nya seru banget wok rekomen buat bara wibu yg suka tob lah,seru wok rekomen bara wibu suka tob,"['seru', 'wok', 'rekomen', 'bara', 'wibu', 'suka', 'tob']","[5, 0, 0, -3, 0, 3, 0]",5,Positive
"kasian sekali gw update sekarang malah udah ngak bisa main lagi ini game, udah tidak kompatibel di hp gw",kasihan update tidak tidak kompatibel hp,"['kasihan', 'update', 'tidak', 'tidak', 'kompatibel', 'hp']","[-3, -5, -5, -5, 0, 0]",-18,Negative
"yaa overall bagus sih karna saya sempat memainkan versi PC nya juga. jujur ini game bagus, dan juga simple. tolong kedepannya saat update, buat sedikit lebih ringan",overall bagus main versi pc jujur bagus simple tolong depan update ringan,"['overall', 'bagus', 'main', 'versi', 'pc', 'jujur', 'bagus', 'simple', 'tolong', 'depan', 'update', 'ringan']","[0, 5, -2, 0, 0, 1, 5, 3, -2, 0, -5, -1]",4,Positive
gacor king,gacor king,"['gacor', 'king']","[0, 0]",0,Positive
jelek banget gamenya bagus si tapi saat donload filenya Lo lama baterai aku 100 aku tinggal.saat aku liat HP aku baterai sudah 20 masih loading baru setengah Bego emang,jelek bagus donload filenya lo baterai tinggalsaat hp baterai loading bego,"['jelek', 'bagus', 'donload', 'filenya', 'lo', 'baterai', 'tinggalsaat', 'hp', 'baterai', 'loading', 'bego']","[-5, 5, 0, 0, 0, -3, 0, 0, -3, -3, 0]",-9,Negative
"terimakasih atas gameplay yang bagus dan menarik dari game zzz ini, animasinya sangat bagus, story nya bagus, dan juga model karakter nya juga bagus. gamenya memang lebih berat dari pada genshin di karenakan animasi dan fitur gameplay yang ada dalam game nya.... aku sangat suka bagaimana kalian membuat gaya animasi yang sangat unik dan detail sekali menurutku, apalagi ekspresi mereka saya sangat suka sekali terimakasih 🙏🥹",terimakasih gameplay bagus tarik animasi bagus story bagus model karakter bagus berat genshin karena animasi fitur gameplay suka gaya animasi unik detail turut ekspresi suka terimakasih,"['terimakasih', 'gameplay', 'bagus', 'tarik', 'animasi', 'bagus', 'story', 'bagus', 'model', 'karakter', 'bagus', 'berat', 'genshin', 'karena', 'animasi', 'fitur', 'gameplay', 'suka', 'gaya', 'animasi', 'unik', 'detail', 'turut', 'ekspresi', 'suka', 'terimakasih']","[5, 2, 5, 2, 0, 5, 5, 5, 3, 0, 5, -4, 0, -3, 0, 0, 2, 3, 0, 0, 0, 2, -3, 0, 3, 5]",42,Positive
best mobile action,best mobile action,"['best', 'mobile', 'action']","[5, 0, 0]",5,Positive
1 agen 140 pity,agen pity,"['agen', 'pity']","[-3, 0]",-3,Negative
"tolong optimisasi lgi game ny supaya bisa stabil fps selama permainan. dimensity 8350 ultimate hrus nya lumayan kuat, login ke game tiba-tiba fps ngelock 20-30 an lalu relog beberapa kali 52 fps dpet, ni bug ngeselin dah tolong perbaiki optimisasi lagi game nya HOYoNg",tolong optimisasi stabil fps main dimensity ultimate lumayan kuat login tibatiba fps ngelock an relog fps dpet bug kesal deh tolong baik optimisasi hoyong,"['tolong', 'optimisasi', 'stabil', 'fps', 'main', 'dimensity', 'ultimate', 'lumayan', 'kuat', 'login', 'tibatiba', 'fps', 'ngelock', 'an', 'relog', 'fps', 'dpet', 'bug', 'kesal', 'deh', 'tolong', 'baik', 'optimisasi', 'hoyong']","[-2, 0, 3, -4, -2, 0, 0, -2, -3, 0, 0, -4, 0, 0, 0, -4, 0, -5, -5, 0, -2, 5, 0, 0]",-25,Negative
bagus bet jirr game nyaaa,bagus anjir,"['bagus', 'anjir']","[5, -3]",2,Positive
"overall udah bagus setelah main 1 bulan, dari gamplay nya yang asik, story nya juga lumayan bagus, bansos nya juga banyak,dan dan banyak qolbu, yang kurang mungkin masih ada berbagai bug, yang baru aja ku alamin kemarin karakter gak bisa di gerakin pakek analog, sama kadang rendering nya suka eror harus relog dulu.",overall bagus gamplay asik story lumayan bagus bansos banyakdan qolbu kurang bug ku alamin kemarin karakter tidak gerakin pakai analog kadang rendering suka eror relog,"['overall', 'bagus', 'gamplay', 'asik', 'story', 'lumayan', 'bagus', 'bansos', 'banyakdan', 'qolbu', 'kurang', 'bug', 'ku', 'alamin', 'kemarin', 'karakter', 'tidak', 'gerakin', 'pakai', 'analog', 'kadang', 'rendering', 'suka', 'eror', 'relog']","[0, 5, 0, 4, 5, -2, 5, -1, 0, 0, -4, -5, 0, 0, 0, 0, -5, 0, 0, 0, 3, 0, 3, -4, 0]",4,Positive
game nya bagus mekaniknya seru storynya menarik samangat terus yah hoyo tim.,bagus mekanik seru storynya tarik samangat hoyo tim,"['bagus', 'mekanik', 'seru', 'storynya', 'tarik', 'samangat', 'hoyo', 'tim']","[5, 0, 5, 0, 2, 0, 0, -4]",8,Positive
30GB+ for the physics,gb for the physics,"['gb', 'for', 'the', 'physics']","[-3, 0, 0, 0]",-3,Negative
"untuk developer tercinta, saya tidak menerima verifikasi kode keamanan lewat Facebook, padahal akun Facebook saya itu benar dan saya tidak menerima verifikasi kode keamanan itu, tolong perbaiki 🙏🙏🙏",developer cinta tidak terima verifikasi kode aman facebook akun facebook tidak terima verifikasi kode aman tolong baik,"['developer', 'cinta', 'tidak', 'terima', 'verifikasi', 'kode', 'aman', 'facebook', 'akun', 'facebook', 'tidak', 'terima', 'verifikasi', 'kode', 'aman', 'tolong', 'baik']","[0, 3, -5, 2, 0, -3, 2, 0, 0, 0, -5, 2, 0, -3, 2, -2, 5]",-2,Negative
i hate raiden shogun for killing rosalyne 😡,hate raiden shogun for killing rosalyne,"['hate', 'raiden', 'shogun', 'for', 'killing', 'rosalyne']","[-5, 0, 0, 0, 0, 0]",-5,Negative
"gooner bgts jirrr, aku nak meletup",gooner bgts jir nak letup,"['gooner', 'bgts', 'jir', 'nak', 'letup']","[0, 0, -3, 0, -3]",-6,Negative
"kasi bintang 1 gw,males lah ga jelas anyinkk,setiap login pake server manapun tetep sama mesti terjadi kesalahan jaringan pdh udh 4G+ ,ga jelass ga jelass",kasih bintang gwmales tidak anyinkksetiap login pakai server mana mesti salah jaring pdh tidak tidak jelass tidak jelass,"['kasih', 'bintang', 'gwmales', 'tidak', 'anyinkksetiap', 'login', 'pakai', 'server', 'mana', 'mesti', 'salah', 'jaring', 'pdh', 'tidak', 'tidak', 'jelass', 'tidak', 'jelass']","[1, 0, 0, -5, 0, 0, 0, 0, 0, -3, -4, 3, 0, -5, -5, 0, -5, 0]",-23,Negative
apaan 25gb sama 31gb game 8 bitt...mending game pc,gb gb bittmending pc,"['gb', 'gb', 'bittmending', 'pc']","[-3, -3, 0, 0]",-6,Negative
Semoga pas banner Ramielle bisa gw pulangin,moga pas banner ramielle pulangin,"['moga', 'pas', 'banner', 'ramielle', 'pulangin']","[1, 3, 0, 0, 0]",4,Positive
"Terima kasih HoyoVerse sudah membuat game ini, bener² bagus. Dari segi cerita yang bener² enjoyable, karakter design yang unik² dan memorable, dan gameplay hack n slash yang satisfying, absolute peak cinema 🙌 (Device aja yang gak memadai 😂)",terima kasih hoyoverse bagus segi cerita enjoyable karakter design unik memorable gameplay hack slash satisfying absolute peak cema device tidak pada,"['terima', 'kasih', 'hoyoverse', 'bagus', 'segi', 'cerita', 'enjoyable', 'karakter', 'design', 'unik', 'memorable', 'gameplay', 'hack', 'slash', 'satisfying', 'absolute', 'peak', 'cema', 'device', 'tidak', 'pada']","[2, 1, 0, 5, -4, -4, 0, 0, 0, 0, 0, 2, -4, 0, 0, 0, 0, -5, 0, -5, -3]",-15,Negative
grafiknya bagus cuma loading nya lama,grafik bagus loading,"['grafik', 'bagus', 'loading']","[1, 5, -3]",3,Positive
mohon perbaiki lag dan force closenya padahal dah grafik hemat baterai,baik lag force closenya deh grafik hemat baterai,"['baik', 'lag', 'force', 'closenya', 'deh', 'grafik', 'hemat', 'baterai']","[5, -5, -3, 0, 0, 1, -3, -3]",-8,Negative
"Why is the *Zenless Zone Zero* I used to know no longer the same game? It makes me furious—it’s become so heavy to run, and I’m stuck on the menu screen. What have you done, developers? You’ve made *Zenless Zone Zero* unplayable. You only care about high-end graphics and money, rendering the game unplayable. Can’t you revert *Zenless Zone Zero* to how it used to be so I can actually play it? I don’t care about bad graphics or anything like that; all I want is to experience that amazing gameplay.",why is the zenless zone zero used know no longer the same makes me furiousits become sok heavy run and im stuck on the menu screen what have you done developers youve made zenless zone zero unplayable you only care about highend graphics and money rendering the unplayable cant you revert zenless zone zero how used be sok can actually play dont care about bad graphics anything like that all want is experience that amazing gameplay,"['why', 'is', 'the', 'zenless', 'zone', 'zero', 'used', 'know', 'no', 'longer', 'the', 'same', 'makes', 'me', 'furiousits', 'become', 'sok', 'heavy', 'run', 'and', 'im', 'stuck', 'on', 'the', 'menu', 'screen', 'what', 'have', 'you', 'done', 'developers', 'youve', 'made', 'zenless', 'zone', 'zero', 'unplayable', 'you', 'only', 'care', 'about', 'highend', 'graphics', 'and', 'money', 'rendering', 'the', 'unplayable', 'cant', 'you', 'revert', 'zenless', 'zone', 'zero', 'how', 'used', 'be', 'sok', 'can', 'actually', 'play', 'dont', 'care', 'about', 'bad', 'graphics', 'anything', 'like', 'that', 'all', 'want', 'is', 'experience', 'that', 'amazing', 'gameplay']","[-2, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, -4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2]",-10,Negative
"dear hoyo, tolong tambahkan fitur reroll penambahan +(+1/2/3) di substat seperti di genshin impact. soalnya terlalu menghabiskan banyak sumber daya kalo harus gacha stat/substat terus di toko musik.",dear hoyo tolong tambah fitur reroll tambah substat genshin impact habis sumber daya gacha statsubstat toko musik,"['dear', 'hoyo', 'tolong', 'tambah', 'fitur', 'reroll', 'tambah', 'substat', 'genshin', 'impact', 'habis', 'sumber', 'daya', 'gacha', 'statsubstat', 'toko', 'musik']","[2, 0, -2, 3, 0, 0, 3, 0, 0, 0, -3, 0, 0, -3, 0, 0, 2]",2,Positive
bagus bgt,bagus,['bagus'],[5],5,Positive
"seru,cuma sering force close saat start (s23fe) apalagi saat 75,61% loading screen",serucuma force close start sfe loading screen,"['serucuma', 'force', 'close', 'start', 'sfe', 'loading', 'screen']","[0, -3, -4, 0, 0, -3, 0]",-10,Negative
"kagak bisa login sama sekali setelah update v3.0, main dari v1.3 gak pernah separah ini, pernah sih 1.5 kek gitu, cuman ini lebih parah😭 aku benci angka 75.61%🗿",kagak login update tidak parah cuman parah benci angka,"['kagak', 'login', 'update', 'tidak', 'parah', 'cuman', 'parah', 'benci', 'angka']","[-3, 0, -5, -5, -5, 0, -5, -5, 0]",-28,Negative
